ID,time,temperature_2m,relativehumidity_2m,precipitation,cloudcover,windspeed_10m,windgusts_10m,winddirection_10m
0,2024-01-26T00:00,-0.5,83,0.0,100,1.5,3.3,44
1,2024-01-26T01:00,-0.8,83,0.0,100,1.3,3.4,95
2,2024-01-26T02:00,-1.0,84,0.0,100,1.0,2.6,135
3,2024-01-26T03:00,-1.1,85,0.0,100,2.0,3.5,145
4,2024-01-26T04:00,-1.3,85,0.0,100,2.3,4.3,169
5,2024-01-26T05:00,-1.4,86,0.0,100,2.9,5.0,184
6,2024-01-26T06:00,-1.4,87,0.0,100,3.0,5.3,177
7,2024-01-26T07:00,-1.4,87,0.0,100,3.5,6.0,171
8,2024-01-26T08:00,-1.6,87,0.0,100,3.9,6.6,163
9,2024-01-26T09:00,-1.6,87,0.0,100,4.3,7.4,152
10,2024-01-26T10:00,-1.4,86,0.0,100,4.4,7.6,157
11,2024-01-26T11:00,-1.0,85,0.0,100,4.8,8.4,158
12,2024-01-26T12:00,-0.4,85,0.0,100,4.9,8.3,156
13,2024-01-26T13:00,0.1,85,0.0,100,5.5,9.3,151
14,2024-01-26T14:00,0.5,85,0.0,100,5.8,9.8,149
15,2024-01-26T15:00,0.7,87,0.0,100,5.9,9.8,150
16,2024-01-26T16:00,1.0,88,0.0,100,6.4,10.7,143
17,2024-01-26T17:00,1.1,91,0.2,100,6.4,10.9,137
18,2024-01-26T18:00,1.3,93,0.7,100,6.7,11.3,130
19,2024-01-26T19:00,1.1,96,1.7,100,5.4,11.3,140
20,2024-01-26T20:00,1.1,97,1.9,100,2.8,9.0,140
21,2024-01-26T21:00,1.2,97,1.1,100,1.7,4.8,123
22,2024-01-26T22:00,1.2,98,0.5,100,1.2,3.0,107
23,2024-01-26T23:00,1.2,98,0.5,100,1.3,2.1,52
24,2024-01-27T00:00,1.2,98,0.2,100,1.2,2.3,34
25,2024-01-27T01:00,1.2,98,0.0,100,2.5,4.2,322
26,2024-01-27T02:00,1.5,92,0.0,100,5.2,8.8,336
27,2024-01-27T03:00,0.8,86,0.0,96,5.6,9.6,338
28,2024-01-27T04:00,0.3,87,0.0,61,3.7,9.5,334
29,2024-01-27T05:00,-0.2,88,0.0,9,2.7,6.3,322
30,2024-01-27T06:00,-0.8,88,0.0,1,2.8,4.6,316
31,2024-01-27T07:00,-1.3,88,0.0,1,2.5,4.7,307
32,2024-01-27T08:00,-1.8,86,0.0,0,2.2,4.1,310
33,2024-01-27T09:00,-2.1,86,0.0,0,1.7,3.4,295
34,2024-01-27T10:00,-2.0,86,0.0,1,1.5,2.8,257
35,2024-01-27T11:00,-1.2,83,0.0,0,2.0,3.2,228
36,2024-01-27T12:00,-0.6,81,0.0,0,2.4,4.0,210
37,2024-01-27T13:00,0.2,79,0.0,1,2.7,4.6,225
38,2024-01-27T14:00,0.9,80,0.0,11,2.4,4.5,203
39,2024-01-27T15:00,1.0,80,0.0,38,2.6,4.1,199
40,2024-01-27T16:00,0.4,81,0.0,26,2.9,4.4,195
41,2024-01-27T17:00,0.3,83,0.0,74,4.2,6.9,218
42,2024-01-27T18:00,1.2,95,0.0,100,4.7,8.4,227
43,2024-01-27T19:00,2.1,97,0.0,100,5.4,9.1,225
44,2024-01-27T20:00,2.7,96,0.0,100,5.5,9.6,238
45,2024-01-27T21:00,3.4,94,0.0,100,5.8,9.8,241
46,2024-01-27T22:00,3.7,93,0.0,100,5.9,9.9,241
47,2024-01-27T23:00,3.9,92,0.0,100,6.3,10.5,241
48,2024-01-28T00:00,4.7,88,0.0,100,8.3,14.1,245
49,2024-01-28T01:00,4.5,88,0.0,100,6.3,14.1,249
50,2024-01-28T02:00,4.2,90,0.0,100,4.6,10.7,242
51,2024-01-28T03:00,3.9,92,0.0,100,3.4,7.6,235
52,2024-01-28T04:00,3.8,93,0.0,100,3.2,5.7,232
53,2024-01-28T05:00,3.7,93,0.0,100,3.4,5.7,229
54,2024-01-28T06:00,3.6,93,0.0,100,3.2,5.6,230
55,2024-01-28T07:00,3.8,93,0.0,100,3.2,5.4,226
56,2024-01-28T08:00,3.7,93,0.0,100,3.4,5.6,222
57,2024-01-28T09:00,3.6,92,0.0,100,3.7,6.1,222
58,2024-01-28T10:00,3.8,91,0.0,100,4.4,7.3,229
59,2024-01-28T11:00,3.9,90,0.0,100,4.8,8.0,233
60,2024-01-28T12:00,4.0,90,0.0,100,5.5,9.3,235
61,2024-01-28T13:00,4.0,91,0.0,100,5.9,9.9,241
62,2024-01-28T14:00,4.4,87,0.0,100,7.4,12.6,241
63,2024-01-28T15:00,4.2,86,0.0,100,7.1,12.6,239
64,2024-01-28T16:00,4.0,83,0.0,100,7.0,12.4,240
65,2024-01-28T17:00,3.3,85,0.0,99,4.8,11.7,228
66,2024-01-28T18:00,2.9,88,0.0,100,4.85,10.5,212
67,2024-01-28T19:00,2.8,89,0.0,100,5.08,10.6,216
68,2024-01-28T20:00,2.8,89,0.0,100,4.88,11.3,223
69,2024-01-28T21:00,2.7,86,0.0,100,5.4,11.3,219
70,2024-01-28T22:00,2.2,82,0.0,100,5.38,11.6,222
71,2024-01-28T23:00,2.2,76,0.0,100,5.16,11.2,216
72,2024-01-29T00:00,1.8,78,0.0,100,5.05,10.9,214
73,2024-01-29T01:00,1.6,78,0.0,100,4.75,10.3,210
74,2024-01-29T02:00,1.6,75,0.0,100,4.57,10.0,209
75,2024-01-29T03:00,1.4,75,0.0,100,4.39,9.6,210
76,2024-01-29T04:00,1.2,74,0.0,100,4.38,9.0,207
77,2024-01-29T05:00,1.3,72,0.0,100,4.2,9.1,205
78,2024-01-29T06:00,1.2,72,0.0,100,4.22,8.7,202
79,2024-01-29T07:00,1.3,72,0.0,100,4.18,8.9,201
80,2024-01-29T08:00,1.4,72,0.0,100,4.35,9.2,203
81,2024-01-29T09:00,1.5,72,0.0,100,4.47,9.5,207
82,2024-01-29T10:00,1.8,71,0.0,100,4.66,9.8,211
83,2024-01-29T11:00,2.2,69,0.0,100,4.72,9.8,216
84,2024-01-29T12:00,2.8,67,0.0,100,4.81,9.9,223
85,2024-01-29T13:00,3.2,66,0.0,100,4.68,9.9,228
86,2024-01-29T14:00,3.2,69,0.0,100,4.22,9.3,234
87,2024-01-29T15:00,3.2,73,0.0,100,3.64,8.7,238
88,2024-01-29T16:00,3.1,78,0.0,100,3.09,8.1,245
89,2024-01-29T17:00,2.8,83,0.3,99,2.56,7.0,249
90,2024-01-29T18:00,2.5,88,0.3,99,2.06,5.8,256
91,2024-01-29T19:00,2.1,92,0.3,98,1.61,4.7,263
92,2024-01-29T20:00,1.8,93,0.0,99,1.32,3.9,279
93,2024-01-29T21:00,1.5,93,0.0,99,1.25,3.0,299
94,2024-01-29T22:00,1.2,93,0.0,100,1.2,2.2,318
95,2024-01-29T23:00,0.9,92,0.0,98,1.17,2.3,340
96,2024-01-30T00:00,0.6,91,0.0,97,1.2,2.5,5
97,2024-01-30T01:00,0.3,90,0.0,95,1.26,2.6,18
98,2024-01-30T02:00,0.1,90,0.0,97,1.21,2.3,24
99,2024-01-30T03:00,-0.1,91,0.0,98,1.08,1.9,34
100,2024-01-30T04:00,-0.2,92,0.0,100,0.92,1.6,41
101,2024-01-30T05:00,-0.2,93,0.0,100,0.85,1.7,45
102,2024-01-30T06:00,-0.3,93,0.0,100,0.78,1.7,50
103,2024-01-30T07:00,-0.4,94,0.0,100,0.78,1.8,50
104,2024-01-30T08:00,-0.6,95,0.0,100,0.86,1.9,54
105,2024-01-30T09:00,-0.9,95,0.0,100,1.03,2.1,61
106,2024-01-30T10:00,-0.9,95,0.0,100,1.21,2.2,66
107,2024-01-30T11:00,-0.4,92,0.0,100,1.17,2.4,70
108,2024-01-30T12:00,0.3,89,0.0,100,1.14,2.5,75
109,2024-01-30T13:00,0.9,86,0.0,100,1.2,2.7,85
110,2024-01-30T14:00,1.1,85,0.0,100,1.41,3.1,98
111,2024-01-30T15:00,1.3,85,0.0,100,1.68,3.6,107
112,2024-01-30T16:00,1.4,86,0.0,100,1.97,4.0,114
113,2024-01-30T17:00,1.4,87,0.0,100,2.15,4.2,118
114,2024-01-30T18:00,1.2,89,0.0,100,2.2,4.4,120
115,2024-01-30T19:00,1.1,91,0.0,100,2.3,4.6,124
116,2024-01-30T20:00,1.1,93,0.6,100,2.34,4.8,130
117,2024-01-30T21:00,1.0,95,0.6,100,2.4,4.9,135
118,2024-01-30T22:00,1.0,97,0.6,100,2.42,5.1,142
119,2024-01-30T23:00,1.1,97,0.8,100,2.46,5.4,153
120,2024-01-31T00:00,1.2,97,0.8,100,2.47,5.6,166
121,2024-01-31T01:00,1.3,97,0.8,100,2.62,5.9,173
122,2024-01-31T02:00,1.2,98,0.4,100,2.7,5.3,182
123,2024-01-31T03:00,1.4,98,0.4,100,2.67,5.4,193
124,2024-01-31T04:00,1.6,98,0.4,100,2.69,5.4,202
125,2024-01-31T05:00,1.9,98,0.0,100,2.73,5.6,204
126,2024-01-31T06:00,2.2,99,0.0,100,2.86,5.7,205
127,2024-01-31T07:00,2.5,99,0.0,100,2.95,5.9,204
128,2024-01-31T08:00,2.7,99,0.1,100,3.18,6.3,204
129,2024-01-31T09:00,2.8,99,0.1,100,3.44,6.6,206
130,2024-01-31T10:00,2.9,99,0.1,100,3.58,7.0,207
131,2024-01-31T11:00,3.0,99,0.0,100,3.49,6.9,207
132,2024-01-31T12:00,3.0,98,0.0,100,3.4,6.7,208
133,2024-01-31T13:00,3.0,98,0.0,100,3.26,6.6,207
134,2024-01-31T14:00,2.9,97,0.0,100,3.22,6.5,206
135,2024-01-31T15:00,2.7,97,0.0,100,3.18,6.3,204
136,2024-01-31T16:00,2.5,96,0.0,100,3.18,6.2,204
137,2024-01-31T17:00,2.4,95,0.0,100,3.27,6.5,203
138,2024-01-31T18:00,2.4,94,0.0,100,3.45,6.9,202
139,2024-01-31T19:00,2.4,94,0.0,100,3.68,7.2,202
140,2024-01-31T20:00,2.5,95,0.0,100,4.16,8.2,207
141,2024-01-31T21:00,2.6,98,0.0,100,4.66,9.1,211
142,2024-01-31T22:00,2.8,99,0.0,100,5.13,10.1,213
143,2024-01-31T23:00,3.0,98,0.0,100,5.37,10.4,209
144,2024-02-01T00:00,3.3,97,0.0,100,5.42,10.8,203
145,2024-02-01T01:00,3.6,95,0.0,100,5.48,11.1,201
146,2024-02-01T02:00,3.8,93,0.2,100,5.46,11.2,208
147,2024-02-01T03:00,3.9,91,0.2,100,5.53,11.2,221
148,2024-02-01T04:00,3.9,88,0.2,100,5.64,11.3,233
149,2024-02-01T05:00,3.5,84,0.0,67,5.59,12.0,246
150,2024-02-01T06:00,2.9,79,0.0,33,5.81,12.6,259
151,2024-02-01T07:00,2.4,76,0.0,0,6.01,13.3,267
152,2024-02-01T08:00,1.9,76,0.0,5,6.12,12.9,265
153,2024-02-01T09:00,1.5,77,0.0,10,6.0,12.5,259
154,2024-02-01T10:00,1.3,78,0.0,15,6.04,12.1,254
155,2024-02-01T11:00,1.6,78,0.0,21,6.1,12.3,252
156,2024-02-01T12:00,2.1,77,0.0,26,6.1,12.6,252
157,2024-02-01T13:00,2.5,77,0.0,32,6.14,12.8,251
158,2024-02-01T14:00,2.5,78,0.0,30,6.07,12.4,250
159,2024-02-01T15:00,2.4,79,0.0,28,5.92,11.9,248
160,2024-02-01T16:00,2.2,81,0.0,26,5.83,11.5,248
161,2024-02-01T17:00,2.1,83,0.0,35,5.83,11.4,248
162,2024-02-01T18:00,1.9,85,0.0,44,5.79,11.3,249
163,2024-02-01T19:00,1.7,87,0.0,53,5.66,11.2,249
164,2024-02-01T20:00,1.7,88,0.0,69,5.48,10.9,249
165,2024-02-01T21:00,1.7,89,0.0,84,5.24,10.7,246
166,2024-02-01T22:00,1.7,90,0.0,100,5.06,10.4,245
167,2024-02-01T23:00,1.8,90,0.0,100,4.98,10.2,248
