ID,time,temperature_2m,relativehumidity_2m,precipitation,cloudcover,windspeed_10m,windgusts_10m,winddirection_10m
0,2023-06-16T00:00,19.9,37,0.0,90,2.5,4.9,174
1,2023-06-16T01:00,18.4,41,0.0,94,2.0,4.1,146
2,2023-06-16T02:00,16.5,46,0.0,8,1.3,2.9,165
3,2023-06-16T03:00,15.3,50,0.0,41,1.1,2.0,141
4,2023-06-16T04:00,14.8,56,0.0,32,0.9,1.8,32
5,2023-06-16T05:00,14.6,58,0.0,94,1.6,2.7,86
6,2023-06-16T06:00,15.3,55,0.0,97,1.1,2.8,33
7,2023-06-16T07:00,17.9,49,0.0,99,0.8,2.1,2
8,2023-06-16T08:00,19.9,40,0.0,93,0.7,2.3,5
9,2023-06-16T09:00,22.3,30,0.0,95,1.6,4.2,27
10,2023-06-16T10:00,24.0,28,0.0,83,2.5,6.2,55
11,2023-06-16T11:00,25.3,30,0.0,89,2.9,7.4,60
12,2023-06-16T12:00,26.5,30,0.0,98,2.9,7.6,63
13,2023-06-16T13:00,27.2,29,0.0,99,3.1,8.0,68
14,2023-06-16T14:00,27.9,28,0.0,92,3.6,8.7,77
15,2023-06-16T15:00,28.5,28,0.0,74,3.7,8.9,76
16,2023-06-16T16:00,28.8,26,0.0,86,3.6,8.8,79
17,2023-06-16T17:00,28.5,26,0.0,92,4.4,9.6,80
18,2023-06-16T18:00,27.8,27,0.0,82,4.9,10.3,77
19,2023-06-16T19:00,26.8,29,0.0,94,4.7,10.1,72
20,2023-06-16T20:00,25.6,30,0.0,97,4.5,9.3,73
21,2023-06-16T21:00,24.3,34,0.0,98,4.0,8.3,71
22,2023-06-16T22:00,22.8,38,0.0,98,3.1,7.0,67
23,2023-06-16T23:00,21.7,42,0.0,99,2.8,5.3,68
24,2023-06-17T00:00,20.8,43,0.0,95,2.8,4.7,70
25,2023-06-17T01:00,20.0,44,0.0,68,2.5,4.7,68
26,2023-06-17T02:00,19.0,46,0.0,41,2.6,4.5,57
27,2023-06-17T03:00,17.8,48,0.0,26,2.6,4.5,58
28,2023-06-17T04:00,16.9,48,0.0,13,2.2,4.4,56
29,2023-06-17T05:00,16.9,45,0.0,2,2.4,4.2,40
30,2023-06-17T06:00,17.8,43,0.0,1,2.5,4.7,26
31,2023-06-17T07:00,19.6,39,0.0,39,2.5,4.9,22
32,2023-06-17T08:00,21.6,34,0.0,72,2.8,5.6,19
33,2023-06-17T09:00,23.5,29,0.0,20,2.9,6.3,10
34,2023-06-17T10:00,25.5,25,0.0,36,2.8,6.8,14
35,2023-06-17T11:00,27.2,22,0.0,0,3.2,8.1,20
36,2023-06-17T12:00,28.4,21,0.0,2,3.7,9.1,26
37,2023-06-17T13:00,29.5,21,0.0,4,3.3,9.1,41
38,2023-06-17T14:00,30.5,23,0.0,70,3.4,8.8,57
39,2023-06-17T15:00,30.9,22,0.0,100,3.9,9.3,72
40,2023-06-17T16:00,30.7,22,0.0,100,4.2,10.0,75
41,2023-06-17T17:00,30.1,23,0.0,100,4.7,10.0,69
42,2023-06-17T18:00,28.5,26,0.0,100,5.6,10.9,118
43,2023-06-17T19:00,27.3,29,0.0,100,4.4,10.7,113
44,2023-06-17T20:00,26.7,31,0.0,100,3.5,8.2,105
45,2023-06-17T21:00,25.9,34,0.0,100,3.0,6.5,92
46,2023-06-17T22:00,24.8,38,0.0,100,2.3,5.3,67
47,2023-06-17T23:00,23.3,45,0.0,100,3.1,5.3,51
48,2023-06-18T00:00,22.4,47,0.0,100,2.7,5.5,54
49,2023-06-18T01:00,21.6,48,0.0,100,3.0,5.2,33
50,2023-06-18T02:00,20.8,51,0.0,100,4.0,6.9,20
51,2023-06-18T03:00,19.8,55,0.0,100,4.2,7.3,14
52,2023-06-18T04:00,19.0,60,0.0,100,4.9,8.6,11
53,2023-06-18T05:00,18.9,61,0.0,100,4.2,8.5,29
54,2023-06-18T06:00,19.3,59,0.0,100,3.3,7.5,34
55,2023-06-18T07:00,19.7,58,0.0,100,3.5,6.6,29
56,2023-06-18T08:00,20.4,56,0.0,100,3.2,6.5,34
57,2023-06-18T09:00,21.4,54,0.0,100,3.3,7.0,37
58,2023-06-18T10:00,22.8,49,0.0,100,3.3,7.3,46
59,2023-06-18T11:00,23.3,47,0.0,100,3.8,8.1,77
60,2023-06-18T12:00,23.6,46,0.0,100,4.0,8.1,94
61,2023-06-18T13:00,23.8,46,0.0,100,3.8,8.1,98
62,2023-06-18T14:00,21.6,61,0.1,100,4.9,9.3,96
63,2023-06-18T15:00,19.4,79,0.5,100,4.6,8.9,80
64,2023-06-18T16:00,17.8,89,1.1,100,4.5,8.6,54
65,2023-06-18T17:00,17.2,91,1.6,100,5.5,9.6,44
66,2023-06-18T18:00,17.2,90,-1.5,100,7.0,12.5,48
67,2023-06-18T19:00,16.5,87,0.1,100,3.83,8.7,83
68,2023-06-18T20:00,16.2,88,0.0,100,4.16,9.0,80
69,2023-06-18T21:00,15.7,87,0.0,100,4.1,9.0,77
70,2023-06-18T22:00,15.3,85,0.0,100,3.45,8.8,73
71,2023-06-18T23:00,14.8,88,0.0,100,3.29,7.4,70
72,2023-06-19T00:00,14.5,89,0.0,100,3.23,7.1,68
73,2023-06-19T01:00,14.2,90,0.1,100,3.13,6.9,63
74,2023-06-19T02:00,13.9,91,0.3,100,3.18,6.7,62
75,2023-06-19T03:00,13.7,91,0.1,100,2.92,6.7,59
76,2023-06-19T04:00,13.6,92,0.0,100,3.0,6.4,53
77,2023-06-19T05:00,13.5,90,0.0,100,3.0,6.5,53
78,2023-06-19T06:00,13.7,89,0.0,98,3.0,6.5,60
79,2023-06-19T07:00,14.1,87,0.0,97,2.77,6.2,64
80,2023-06-19T08:00,14.7,87,0.1,100,2.59,6.3,62
81,2023-06-19T09:00,15.1,87,0.4,100,2.51,6.2,61
82,2023-06-19T10:00,15.5,87,0.4,100,2.42,6.1,60
83,2023-06-19T11:00,15.8,86,0.4,100,2.47,6.0,58
84,2023-06-19T12:00,16.1,84,0.2,100,2.69,6.6,59
85,2023-06-19T13:00,16.4,81,0.2,100,3.0,7.2,60
86,2023-06-19T14:00,16.6,79,0.2,100,3.18,7.8,62
87,2023-06-19T15:00,16.8,78,0.0,100,3.13,7.3,63
88,2023-06-19T16:00,16.9,78,0.0,100,2.95,6.9,66
89,2023-06-19T17:00,16.9,78,0.0,100,2.73,6.4,66
90,2023-06-19T18:00,16.9,78,0.0,90,2.55,6.1,64
91,2023-06-19T19:00,16.9,79,0.0,81,2.37,5.9,62
92,2023-06-19T20:00,16.6,81,0.0,71,2.2,5.6,60
93,2023-06-19T21:00,15.9,85,0.0,69,1.86,4.6,54
94,2023-06-19T22:00,15.0,89,0.0,67,1.49,3.6,48
95,2023-06-19T23:00,14.2,93,0.0,65,1.28,2.6,39
96,2023-06-20T00:00,13.6,95,0.0,60,1.14,2.4,38
97,2023-06-20T01:00,13.1,96,0.0,54,1.08,2.2,34
98,2023-06-20T02:00,12.7,97,0.0,49,1.0,2.0,37
99,2023-06-20T03:00,12.2,99,0.0,63,0.94,2.1,32
100,2023-06-20T04:00,11.8,100,0.0,76,1.03,2.2,29
101,2023-06-20T05:00,11.9,100,0.0,90,0.94,2.3,32
102,2023-06-20T06:00,13.0,96,0.0,91,0.78,2.8,50
103,2023-06-20T07:00,14.6,89,0.0,92,0.81,3.2,83
104,2023-06-20T08:00,16.1,82,0.0,93,1.04,3.7,107
105,2023-06-20T09:00,17.4,76,0.0,95,1.36,4.1,126
106,2023-06-20T10:00,18.6,69,0.0,98,1.63,4.4,137
107,2023-06-20T11:00,19.7,64,0.0,100,1.8,4.8,146
108,2023-06-20T12:00,20.7,60,0.0,97,1.66,4.2,155
109,2023-06-20T13:00,21.7,56,0.0,94,1.32,3.7,171
110,2023-06-20T14:00,22.5,53,0.0,91,1.1,3.1,180
111,2023-06-20T15:00,23.3,50,0.0,88,1.0,3.1,174
112,2023-06-20T16:00,23.9,47,0.0,85,1.03,3.2,151
113,2023-06-20T17:00,24.2,47,0.0,82,1.28,3.2,141
114,2023-06-20T18:00,24.0,50,0.0,83,1.86,4.3,144
115,2023-06-20T19:00,23.4,55,0.0,84,2.75,5.5,147
116,2023-06-20T20:00,22.5,60,0.0,85,3.22,6.6,150
117,2023-06-20T21:00,21.1,64,0.0,90,3.13,6.2,153
118,2023-06-20T22:00,19.5,69,0.0,95,2.79,5.8,159
119,2023-06-20T23:00,18.1,73,0.0,100,2.44,5.4,161
120,2023-06-21T00:00,17.0,77,0.0,100,2.19,5.0,156
121,2023-06-21T01:00,16.2,81,0.0,100,1.94,4.7,145
122,2023-06-21T02:00,15.6,84,0.0,100,1.91,4.3,137
123,2023-06-21T03:00,14.1,92,0.0,98,1.41,3.4,135
124,2023-06-21T04:00,14.1,93,0.0,97,1.5,3.4,127
125,2023-06-21T05:00,14.4,93,0.0,95,1.66,3.4,123
126,2023-06-21T06:00,15.4,90,0.0,96,2.02,4.3,123
127,2023-06-21T07:00,16.7,84,0.0,98,2.52,5.3,124
128,2023-06-21T08:00,17.7,80,0.0,99,2.86,6.2,126
129,2023-06-21T09:00,18.3,77,0.0,99,3.12,6.6,130
130,2023-06-21T10:00,18.6,74,0.0,100,3.25,7.0,135
131,2023-06-21T11:00,18.7,73,0.0,100,3.47,7.4,139
132,2023-06-21T12:00,18.5,75,0.6,100,3.75,7.9,138
133,2023-06-21T13:00,18.1,80,0.6,100,3.96,8.4,137
134,2023-06-21T14:00,17.9,83,0.6,100,3.96,8.9,137
135,2023-06-21T15:00,18.1,84,0.1,93,3.54,8.1,137
136,2023-06-21T16:00,18.5,85,0.1,87,2.76,7.4,136
137,2023-06-21T17:00,18.9,85,0.1,80,2.14,6.6,143
138,2023-06-21T18:00,19.3,85,0.0,79,1.8,6.5,161
139,2023-06-21T19:00,19.7,85,0.0,77,1.91,6.4,186
140,2023-06-21T20:00,19.8,86,0.0,76,2.15,6.3,202
141,2023-06-21T21:00,19.2,89,0.1,72,2.06,5.4,209
142,2023-06-21T22:00,18.2,93,0.1,69,1.89,4.5,212
143,2023-06-21T23:00,17.4,96,0.1,65,1.78,3.6,218
144,2023-06-22T00:00,17.0,96,0.0,71,1.91,4.0,223
145,2023-06-22T01:00,16.7,95,0.0,78,2.13,4.3,229
146,2023-06-22T02:00,16.5,94,0.0,84,2.28,4.7,232
147,2023-06-22T03:00,16.0,95,0.0,77,2.36,4.9,234
148,2023-06-22T04:00,15.4,97,0.0,71,2.5,5.1,233
149,2023-06-22T05:00,15.4,96,0.0,64,2.47,5.3,238
150,2023-06-22T06:00,16.4,92,0.0,65,2.5,6.0,254
151,2023-06-22T07:00,17.8,86,0.0,66,2.8,6.6,272
152,2023-06-22T08:00,19.3,79,0.0,67,3.08,7.3,283
153,2023-06-22T09:00,20.5,72,0.0,54,3.18,7.2,283
154,2023-06-22T10:00,21.7,65,0.0,42,3.03,7.0,278
155,2023-06-22T11:00,22.9,59,0.0,29,2.92,6.9,276
156,2023-06-22T12:00,24.0,53,0.0,41,2.83,6.9,278
157,2023-06-22T13:00,25.1,48,0.0,54,2.79,6.8,285
158,2023-06-22T14:00,25.9,44,0.0,66,2.66,6.8,290
159,2023-06-22T15:00,26.5,40,0.0,73,2.64,6.4,295
160,2023-06-22T16:00,26.7,37,0.0,81,2.59,6.0,298
161,2023-06-22T17:00,26.6,37,0.0,88,2.33,5.6,301
162,2023-06-22T18:00,25.9,43,0.0,92,1.86,4.9,306
163,2023-06-22T19:00,24.8,52,0.0,96,1.13,4.3,315
164,2023-06-22T20:00,23.5,59,0.0,100,0.72,3.6,326
165,2023-06-22T21:00,22.1,63,0.0,100,0.64,2.7,309
166,2023-06-22T22:00,20.4,65,0.0,100,0.85,1.9,291
167,2023-06-22T23:00,19.0,68,0.0,100,0.82,1.0,284
