ID,time,temperature_2m,relativehumidity_2m,precipitation,cloudcover,windspeed_10m,windgusts_10m,winddirection_10m
0,2023-06-19T00:00,16.5,88,0.0,98,2.6,6.0,52
1,2023-06-19T01:00,16.4,86,0.0,98,2.9,5.6,47
2,2023-06-19T02:00,16.2,87,0.3,100,3.4,6.8,62
3,2023-06-19T03:00,15.8,94,2.6,100,3.4,6.6,70
4,2023-06-19T04:00,15.7,96,1.1,100,3.0,6.6,56
5,2023-06-19T05:00,15.9,82,0.2,100,2.3,5.0,60
6,2023-06-19T06:00,16.3,83,0.0,100,2.2,4.5,73
7,2023-06-19T07:00,16.6,86,0.0,100,2.7,5.3,79
8,2023-06-19T08:00,17.1,87,0.0,100,2.9,6.0,80
9,2023-06-19T09:00,18.4,83,0.0,100,2.7,6.1,79
10,2023-06-19T10:00,18.9,78,0.0,100,3.0,6.5,98
11,2023-06-19T11:00,19.8,70,0.0,100,3.0,7.2,130
12,2023-06-19T12:00,21.9,64,0.0,81,2.7,6.7,135
13,2023-06-19T13:00,22.5,57,0.0,95,2.6,7.0,132
14,2023-06-19T14:00,23.7,49,0.0,80,3.1,7.9,118
15,2023-06-19T15:00,24.4,47,0.0,95,3.0,7.7,122
16,2023-06-19T16:00,23.1,49,0.0,100,3.1,7.5,116
17,2023-06-19T17:00,22.4,53,0.0,100,3.2,6.8,147
18,2023-06-19T18:00,22.3,57,0.0,100,2.5,6.7,151
19,2023-06-19T19:00,22.1,54,0.0,97,2.6,5.7,144
20,2023-06-19T20:00,21.6,55,0.0,92,2.3,5.7,130
21,2023-06-19T21:00,20.8,60,0.0,99,2.3,4.8,162
22,2023-06-19T22:00,19.6,65,0.0,98,2.2,5.4,173
23,2023-06-19T23:00,18.8,68,0.0,94,1.2,4.3,167
24,2023-06-20T00:00,17.5,74,0.0,79,0.8,2.3,95
25,2023-06-20T01:00,16.3,81,0.0,78,0.4,1.5,113
26,2023-06-20T02:00,15.2,86,0.0,57,0.7,1.3,87
27,2023-06-20T03:00,14.2,90,0.0,23,1.0,1.7,74
28,2023-06-20T04:00,13.4,93,0.0,4,1.0,1.8,71
29,2023-06-20T05:00,13.8,93,0.0,3,0.8,1.8,64
30,2023-06-20T06:00,15.5,89,0.0,1,1.0,2.2,99
31,2023-06-20T07:00,17.3,82,0.0,1,1.2,3.0,130
32,2023-06-20T08:00,19.4,74,0.0,8,1.2,3.5,154
33,2023-06-20T09:00,21.5,65,0.0,46,1.4,4.4,134
34,2023-06-20T10:00,23.2,57,0.0,61,2.0,5.6,164
35,2023-06-20T11:00,24.4,53,0.0,51,2.1,6.0,183
36,2023-06-20T12:00,25.3,47,0.0,52,2.1,6.1,186
37,2023-06-20T13:00,25.9,44,0.0,58,2.0,6.1,185
38,2023-06-20T14:00,26.5,41,0.0,56,2.2,6.4,183
39,2023-06-20T15:00,26.7,41,0.0,53,2.3,6.5,178
40,2023-06-20T16:00,26.9,40,0.0,52,2.2,6.5,177
41,2023-06-20T17:00,27.1,39,0.0,77,1.9,6.2,180
42,2023-06-20T18:00,26.9,39,0.0,62,1.9,5.6,186
43,2023-06-20T19:00,26.7,39,0.0,33,1.7,5.1,179
44,2023-06-20T20:00,26.3,40,0.0,30,1.6,4.6,153
45,2023-06-20T21:00,24.7,49,0.0,44,3.4,6.5,133
46,2023-06-20T22:00,23.0,52,0.0,70,2.7,7.4,152
47,2023-06-20T23:00,21.1,56,0.0,13,1.7,5.1,140
48,2023-06-21T00:00,19.6,61,0.0,16,1.3,3.0,116
49,2023-06-21T01:00,18.4,67,0.0,27,0.6,2.2,135
50,2023-06-21T02:00,17.4,71,0.0,39,1.1,1.9,84
51,2023-06-21T03:00,16.6,76,0.0,38,1.1,1.9,80
52,2023-06-21T04:00,16.2,79,0.0,44,1.1,2.0,78
53,2023-06-21T05:00,16.8,78,0.0,26,1.2,2.3,86
54,2023-06-21T06:00,18.2,76,0.0,10,1.7,3.6,112
55,2023-06-21T07:00,19.8,70,0.0,82,1.6,3.7,126
56,2023-06-21T08:00,21.8,63,0.0,97,1.7,4.2,130
57,2023-06-21T09:00,23.9,57,0.0,98,2.1,5.2,131
58,2023-06-21T10:00,25.5,52,0.0,96,2.8,7.0,129
59,2023-06-21T11:00,27.1,46,0.0,85,3.1,7.7,152
60,2023-06-21T12:00,28.0,42,0.0,23,2.8,8.0,163
61,2023-06-21T13:00,28.7,39,0.0,86,2.7,7.4,164
62,2023-06-21T14:00,28.9,37,0.0,100,2.8,7.3,148
63,2023-06-21T15:00,29.0,36,0.0,100,3.5,8.3,137
64,2023-06-21T16:00,28.8,36,0.0,100,4.1,9.1,157
65,2023-06-21T17:00,28.2,37,0.0,100,4.9,10.5,164
66,2023-06-21T18:00,26.7,40,0.0,100,4.7,10.5,166
67,2023-06-21T19:00,24.8,44,0.0,100,4.6,9.6,175
68,2023-06-21T20:00,23.1,56,0.0,100,4.5,9.0,191
69,2023-06-21T21:00,19.1,91,2.7,100,2.0,8.9,179
70,2023-06-21T22:00,18.7,94,-1.7,100,2.0,3.9,165
71,2023-06-21T23:00,18.6,94,-0.8,100,1.3,3.9,106
72,2023-06-22T00:00,18.7,93,0.1,100,2.2,4.2,155
73,2023-06-22T01:00,18.6,92,-0.2,100,1.8,4.2,166
74,2023-06-22T02:00,18.5,91,0.0,98,2.1,4.1,203
75,2023-06-22T03:00,18.2,93,0.0,100,1.4,3.9,208
76,2023-06-22T04:00,16.3,98,0.0,67,1.64,3.8,218
77,2023-06-22T05:00,17.1,97,0.0,68,2.05,5.0,227
78,2023-06-22T06:00,17.8,92,0.0,86,2.7,7.5,231
79,2023-06-22T07:00,18.3,87,0.0,77,3.27,8.9,247
80,2023-06-22T08:00,19.1,84,0.0,61,3.67,9.0,244
81,2023-06-22T09:00,19.6,80,0.0,65,4.07,10.1,242
82,2023-06-22T10:00,20.3,75,0.0,62,3.98,10.5,245
83,2023-06-22T11:00,21.0,71,0.0,59,4.07,10.3,242
84,2023-06-22T12:00,21.7,67,0.0,75,4.2,10.7,245
85,2023-06-22T13:00,22.6,60,0.0,81,4.35,10.8,247
86,2023-06-22T14:00,23.9,54,0.0,71,4.24,10.8,251
87,2023-06-22T15:00,24.8,49,0.0,71,4.3,11.0,258
88,2023-06-22T16:00,25.3,47,0.0,44,4.46,11.5,261
89,2023-06-22T17:00,25.1,47,0.0,63,4.36,11.3,261
90,2023-06-22T18:00,25.1,47,0.0,44,4.04,10.6,261
91,2023-06-22T19:00,24.6,48,0.0,46,3.42,10.1,263
92,2023-06-22T20:00,23.7,52,0.0,26,2.82,8.5,253
93,2023-06-22T21:00,22.1,59,0.0,34,2.6,7.5,254
94,2023-06-22T22:00,20.1,68,0.0,43,2.38,6.5,255
95,2023-06-22T23:00,18.3,76,0.0,51,2.02,5.5,261
96,2023-06-23T00:00,16.8,83,0.0,52,1.32,4.6,279
97,2023-06-23T01:00,15.5,89,0.0,54,0.94,3.6,328
