ID,time,temperature_2m,relativehumidity_2m,precipitation,cloudcover,windspeed_10m,windgusts_10m,winddirection_10m
0,2023-07-10T00:00,17.2,64,0.0,10,2.4,4.3,142
1,2023-07-10T01:00,16.1,66,0.0,1,2.3,4.2,126
2,2023-07-10T02:00,14.8,71,0.0,1,1.5,3.0,134
3,2023-07-10T03:00,14.4,73,0.0,1,0.9,2.3,141
4,2023-07-10T04:00,13.8,77,0.0,2,1.3,2.0,107
5,2023-07-10T05:00,13.2,79,0.0,0,1.3,2.3,100
6,2023-07-10T06:00,14.2,73,0.0,0,1.9,3.5,124
7,2023-07-10T07:00,15.1,65,0.0,0,2.1,4.3,136
8,2023-07-10T08:00,17.2,57,0.0,0,2.3,4.9,135
9,2023-07-10T09:00,18.8,53,0.0,3,2.7,6.0,134
10,2023-07-10T10:00,20.7,46,0.0,1,2.8,6.7,148
11,2023-07-10T11:00,22.4,44,0.0,0,3.3,7.8,177
12,2023-07-10T12:00,23.9,40,0.0,0,3.3,8.0,182
13,2023-07-10T13:00,25.1,38,0.0,5,3.2,8.0,189
14,2023-07-10T14:00,25.6,35,0.0,13,3.3,8.2,180
15,2023-07-10T15:00,26.1,35,0.0,6,3.6,8.6,189
16,2023-07-10T16:00,26.3,35,0.0,3,3.9,8.8,185
17,2023-07-10T17:00,25.7,35,0.0,10,4.6,9.8,157
18,2023-07-10T18:00,25.3,35,0.0,4,4.2,9.8,167
19,2023-07-10T19:00,24.2,35,0.0,0,4.7,9.3,177
20,2023-07-10T20:00,23.2,40,0.0,4,4.3,8.9,180
21,2023-07-10T21:00,22.0,46,0.0,0,3.5,8.2,176
22,2023-07-10T22:00,20.5,54,0.0,0,2.6,6.3,158
23,2023-07-10T23:00,18.9,54,0.0,0,2.8,4.8,151
24,2023-07-11T00:00,17.6,59,0.0,0,2.5,4.8,154
25,2023-07-11T01:00,16.1,69,0.0,0,1.9,4.2,143
26,2023-07-11T02:00,14.6,75,0.0,0,1.8,3.1,115
27,2023-07-11T03:00,13.6,82,0.0,3,1.9,3.2,113
28,2023-07-11T04:00,13.2,88,0.0,11,2.1,3.5,123
