ID,time,temperature_2m,relativehumidity_2m,precipitation,cloudcover,windspeed_10m,windgusts_10m,winddirection_10m
0,2023-06-17T00:00,17.7,66,0.0,99,1.3,2.6,62
1,2023-06-17T01:00,16.4,68,0.0,77,1.3,1.9,48
2,2023-06-17T02:00,15.4,79,0.0,64,1.3,2.1,30
3,2023-06-17T03:00,14.2,76,0.0,81,1.4,2.0,23
4,2023-06-17T04:00,13.1,72,0.0,78,1.4,2.2,16
5,2023-06-17T05:00,12.8,77,0.0,6,1.9,2.9,29
6,2023-06-17T06:00,13.6,64,0.0,0,1.5,3.5,27
7,2023-06-17T07:00,16.7,50,0.0,0,1.6,3.2,49
8,2023-06-17T08:00,19.2,40,0.0,0,1.7,3.8,39
9,2023-06-17T09:00,22.1,34,0.0,5,1.8,4.5,32
10,2023-06-17T10:00,23.9,29,0.0,15,2.1,5.7,36
11,2023-06-17T11:00,25.3,28,0.0,45,2.4,6.7,46
12,2023-06-17T12:00,26.4,27,0.0,10,2.3,6.9,35
13,2023-06-17T13:00,27.3,27,0.0,94,2.2,6.9,33
14,2023-06-17T14:00,28.1,27,0.0,94,2.4,7.1,43
15,2023-06-17T15:00,28.7,26,0.0,95,2.8,7.6,64
16,2023-06-17T16:00,28.7,25,0.0,100,3.9,8.9,98
17,2023-06-17T17:00,28.1,26,0.0,100,4.1,9.1,98
18,2023-06-17T18:00,27.7,26,0.0,100,3.5,8.6,86
19,2023-06-17T19:00,26.3,29,0.0,100,5.9,12.3,116
20,2023-06-17T20:00,24.7,33,0.0,100,4.5,10.7,120
21,2023-06-17T21:00,23.8,35,0.0,100,2.6,8.0,108
22,2023-06-17T22:00,22.0,45,0.0,100,2.1,4.7,139
23,2023-06-17T23:00,20.0,52,0.0,100,0.7,3.6,150
24,2023-06-18T00:00,18.7,58,0.0,100,0.8,2.1,210
25,2023-06-18T01:00,17.8,60,0.0,100,1.2,2.0,359
26,2023-06-18T02:00,17.6,61,0.0,100,1.6,2.5,339
27,2023-06-18T03:00,18.2,52,0.0,100,3.5,6.2,12
28,2023-06-18T04:00,18.0,61,0.0,100,2.6,6.8,26
29,2023-06-18T05:00,17.7,66,0.0,100,1.8,4.7,356
30,2023-06-18T06:00,17.7,67,0.0,100,2.7,5.2,42
31,2023-06-18T07:00,17.6,71,0.0,100,2.7,5.0,32
32,2023-06-18T08:00,17.6,75,0.1,100,2.5,4.9,51
33,2023-06-18T09:00,16.5,86,0.2,100,4.1,7.2,357
34,2023-06-18T10:00,16.8,86,-0.3,100,0.6,7.4,52
35,2023-06-18T11:00,16.6,92,0.5,100,2.0,3.5,42
36,2023-06-18T12:00,16.8,95,0.5,100,3.4,6.0,32
37,2023-06-18T13:00,16.9,96,0.8,100,4.8,8.6,41
38,2023-06-18T14:00,16.8,95,0.0,100,5.4,9.7,43
39,2023-06-18T15:00,16.8,95,2.2,100,6.9,12.3,34
40,2023-06-18T16:00,16.9,95,-2.2,100,5.6,12.3,39
41,2023-06-18T17:00,16.9,94,-0.5,100,6.8,12.2,46
42,2023-06-18T18:00,16.5,94,-0.7,100,6.6,12.4,61
43,2023-06-18T19:00,16.3,94,-0.6,100,5.9,11.8,71
44,2023-06-18T20:00,16.3,94,0.0,100,4.9,10.6,74
45,2023-06-18T21:00,16.5,95,0.0,100,3.9,8.8,67
46,2023-06-18T22:00,16.2,95,0.0,100,3.7,7.6,64
47,2023-06-18T23:00,16.1,95,0.0,100,3.9,7.0,62
48,2023-06-19T00:00,16.0,95,0.0,100,4.1,7.4,61
49,2023-06-19T01:00,15.7,95,0.0,100,3.7,7.2,54
50,2023-06-19T02:00,15.5,95,0.0,100,2.9,6.4,51
51,2023-06-19T03:00,15.4,92,0.0,100,2.6,5.2,51
52,2023-06-19T04:00,15.0,89,0.0,100,3.0,5.3,45
53,2023-06-19T05:00,14.5,85,0.0,100,3.5,6.7,47
54,2023-06-19T06:00,14.5,83,0.0,97,3.3,6.3,52
55,2023-06-19T07:00,15.3,78,0.0,98,3.8,6.7,61
56,2023-06-19T08:00,16.0,73,0.0,100,3.8,7.0,61
57,2023-06-19T09:00,17.2,67,0.0,100,3.5,7.3,64
58,2023-06-19T10:00,18.8,65,0.0,99,3.0,6.9,75
59,2023-06-19T11:00,20.7,61,0.0,98,3.1,7.0,64
60,2023-06-19T12:00,22.7,56,0.0,91,3.4,7.6,66
61,2023-06-19T13:00,23.9,53,0.0,68,3.8,8.3,76
62,2023-06-19T14:00,24.9,49,0.0,65,4.1,8.7,82
63,2023-06-19T15:00,25.6,47,0.0,79,4.5,9.0,87
64,2023-06-19T16:00,25.6,47,0.0,74,4.5,9.2,97
65,2023-06-19T17:00,25.5,47,0.0,67,4.4,9.0,101
66,2023-06-19T18:00,24.8,47,0.0,76,4.7,8.8,103
67,2023-06-19T19:00,20.4,67,0.0,100,2.79,6.4,105
68,2023-06-19T20:00,19.2,74,0.0,100,2.31,5.9,108
69,2023-06-19T21:00,18.2,81,0.0,100,1.75,4.7,103
70,2023-06-19T22:00,17.7,87,0.0,100,1.58,3.4,108
71,2023-06-19T23:00,17.2,91,0.0,100,1.06,3.1,131
72,2023-06-20T00:00,16.8,92,0.0,100,0.63,1.9,162
73,2023-06-20T01:00,16.4,93,0.0,100,0.22,1.0,153
74,2023-06-20T02:00,15.9,94,0.0,100,0.28,0.3,225
75,2023-06-20T03:00,15.5,94,0.0,98,0.2,0.3,270
76,2023-06-20T04:00,14.6,98,0.0,77,0.78,1.1,320
77,2023-06-20T05:00,14.3,100,0.0,82,0.54,1.1,338
78,2023-06-20T06:00,15.7,97,0.0,82,0.54,1.3,338
79,2023-06-20T07:00,17.3,90,0.0,100,0.92,2.3,41
80,2023-06-20T08:00,18.7,81,0.0,100,1.36,3.5,54
81,2023-06-20T09:00,20.0,74,0.0,100,1.39,3.6,69
82,2023-06-20T10:00,21.2,67,0.0,99,1.4,3.6,86
83,2023-06-20T11:00,22.1,62,0.0,99,1.46,3.7,106
84,2023-06-20T12:00,22.8,59,0.0,99,1.75,4.2,121
85,2023-06-20T13:00,23.3,58,0.0,100,2.05,4.7,133
86,2023-06-20T14:00,23.7,57,0.0,100,2.27,5.2,139
87,2023-06-20T15:00,24.0,56,0.0,100,2.27,4.9,139
88,2023-06-20T16:00,24.3,56,0.0,99,2.05,4.7,137
89,2023-06-20T17:00,24.3,57,0.0,99,1.84,4.4,135
90,2023-06-20T18:00,24.0,59,0.0,99,1.64,4.2,128
91,2023-06-20T19:00,23.4,62,0.0,100,1.48,3.9,118
92,2023-06-20T20:00,22.7,66,0.0,100,1.26,3.7,108
