ID,time,temperature_2m,relativehumidity_2m,precipitation,cloudcover,windspeed_10m,windgusts_10m,winddirection_10m
0,2023-06-15T00:00,20.7,44,0.0,50,3.1,5.7,159
1,2023-06-15T01:00,18.8,47,0.0,55,2.1,5.1,159
2,2023-06-15T02:00,17.2,53,0.0,7,1.3,2.9,212
3,2023-06-15T03:00,16.0,58,0.0,0,0.6,2.0,54
4,2023-06-15T04:00,14.9,65,0.0,0,2.2,3.8,84
5,2023-06-15T05:00,14.4,68,0.0,0,1.9,3.5,100
6,2023-06-15T06:00,15.4,64,0.0,1,2.0,3.6,114
7,2023-06-15T07:00,17.3,56,0.0,4,2.0,4.0,135
8,2023-06-15T08:00,19.1,45,0.0,1,2.1,4.5,150
9,2023-06-15T09:00,20.9,38,0.0,50,2.0,4.8,161
10,2023-06-15T10:00,22.2,34,0.0,87,2.2,5.8,166
11,2023-06-15T11:00,24.1,34,0.0,94,2.9,7.2,163
12,2023-06-15T12:00,26.0,33,0.0,93,3.0,7.4,150
13,2023-06-15T13:00,26.7,31,0.0,52,2.7,7.4,134
14,2023-06-15T14:00,27.6,30,0.0,62,2.8,7.6,93
15,2023-06-15T15:00,27.9,30,0.0,28,3.2,8.1,85
16,2023-06-15T16:00,27.9,31,0.0,36,3.1,8.0,80
17,2023-06-15T17:00,27.7,31,0.0,45,3.1,7.8,92
18,2023-06-15T18:00,27.4,31,0.0,22,3.1,7.5,106
19,2023-06-15T19:00,26.9,32,0.0,38,2.8,7.1,110
20,2023-06-15T20:00,26.2,35,0.0,71,2.9,6.2,123
21,2023-06-15T21:00,25.3,37,0.0,41,2.9,5.9,124
22,2023-06-15T22:00,23.8,42,0.0,79,2.9,6.1,114
23,2023-06-15T23:00,22.6,42,0.0,100,2.5,4.9,126
24,2023-06-16T00:00,21.5,43,0.0,86,1.6,4.1,137
25,2023-06-16T01:00,19.6,51,0.0,79,1.3,2.6,61
26,2023-06-16T02:00,18.5,54,0.0,93,1.6,2.5,45
27,2023-06-16T03:00,17.9,55,0.0,79,1.9,3.2,67
28,2023-06-16T04:00,17.4,58,0.0,72,2.0,3.6,86
29,2023-06-16T05:00,17.7,61,0.0,31,1.2,3.4,56
30,2023-06-16T06:00,18.8,58,0.0,55,1.3,2.3,14
31,2023-06-16T07:00,20.7,49,0.0,82,2.0,4.0,53
32,2023-06-16T08:00,22.2,42,0.0,97,2.5,5.3,41
33,2023-06-16T09:00,23.7,39,0.0,99,2.8,6.5,46
34,2023-06-16T10:00,24.8,36,0.0,100,3.2,7.3,50
35,2023-06-16T11:00,25.7,33,0.0,100,3.2,7.6,50
36,2023-06-16T12:00,26.9,32,0.0,99,3.2,7.9,55
37,2023-06-16T13:00,27.8,30,0.0,100,3.6,8.5,64
38,2023-06-16T14:00,28.4,28,0.0,100,3.9,9.1,74
39,2023-06-16T15:00,28.8,27,0.0,99,4.0,9.2,82
40,2023-06-16T16:00,28.8,27,0.0,95,4.1,9.2,85
41,2023-06-16T17:00,28.7,27,0.0,93,3.9,9.2,87
42,2023-06-16T18:00,28.2,28,0.0,98,3.7,8.7,85
43,2023-06-16T19:00,27.3,28,0.0,89,4.5,9.0,75
44,2023-06-16T20:00,26.1,26,0.0,78,4.4,9.0,78
45,2023-06-16T21:00,24.9,28,0.0,67,3.6,8.2,81
46,2023-06-16T22:00,23.3,34,0.0,77,2.9,6.3,59
47,2023-06-16T23:00,21.9,33,0.0,85,2.9,5.0,53
48,2023-06-17T00:00,21.1,32,0.0,94,3.3,5.6,48
49,2023-06-17T01:00,20.0,33,0.0,67,2.7,5.7,46
50,2023-06-17T02:00,18.7,36,0.0,29,1.7,4.7,350
51,2023-06-17T03:00,17.6,40,0.0,38,2.2,3.6,325
52,2023-06-17T04:00,16.9,42,0.0,38,2.9,5.0,339
53,2023-06-17T05:00,17.0,42,0.0,41,3.3,5.7,345
54,2023-06-17T06:00,17.9,41,0.0,44,4.1,7.3,347
55,2023-06-17T07:00,19.6,39,0.0,67,4.8,8.7,358
56,2023-06-17T08:00,21.7,37,0.0,55,4.9,9.3,3
57,2023-06-17T09:00,23.6,36,0.0,9,5.1,9.8,5
58,2023-06-17T10:00,25.6,33,0.0,1,4.9,9.9,17
59,2023-06-17T11:00,27.3,31,0.0,10,4.6,9.8,22
60,2023-06-17T12:00,28.8,29,0.0,7,4.4,9.9,32
61,2023-06-17T13:00,30.2,26,0.0,1,4.5,10.3,49
62,2023-06-17T14:00,30.9,25,0.0,1,4.8,10.8,61
63,2023-06-17T15:00,31.3,24,0.0,32,5.1,11.1,62
64,2023-06-17T16:00,31.1,24,0.0,36,5.4,11.5,65
65,2023-06-17T17:00,30.8,22,0.0,23,5.5,11.7,72
66,2023-06-17T18:00,30.1,22,0.0,52,5.0,11.5,99
67,2023-06-17T19:00,29.0,20,0.0,91,4.7,10.8,95
68,2023-06-17T20:00,27.7,28,0.0,99,4.5,9.4,110
69,2023-06-17T21:00,26.5,31,0.0,100,3.7,8.6,128
70,2023-06-17T22:00,19.3,55,0.0,100,3.2,7.3,39
71,2023-06-17T23:00,17.6,62,0.0,100,2.7,7.0,39
72,2023-06-18T00:00,16.4,68,0.0,100,2.59,5.9,28
73,2023-06-18T01:00,15.7,71,0.0,100,2.33,5.7,31
74,2023-06-18T02:00,15.0,73,0.0,100,2.28,5.0,23
75,2023-06-18T03:00,14.5,75,0.0,100,2.24,5.0,27
76,2023-06-18T04:00,13.9,78,0.0,100,2.38,5.3,15
77,2023-06-18T05:00,13.8,77,0.0,100,3.18,7.0,28
78,2023-06-18T06:00,14.0,77,0.1,100,3.16,7.1,18
79,2023-06-18T07:00,14.3,75,0.0,100,2.89,6.4,14
80,2023-06-18T08:00,14.9,73,0.0,100,2.48,7.4,40
81,2023-06-18T09:00,15.8,71,0.1,100,3.14,7.0,31
82,2023-06-18T10:00,17.0,69,0.1,100,2.69,6.8,42
83,2023-06-18T11:00,17.7,69,0.3,100,2.52,6.1,56
84,2023-06-18T12:00,18.2,71,0.6,100,2.33,5.4,65
85,2023-06-18T13:00,18.3,74,0.5,100,2.42,5.5,66
86,2023-06-18T14:00,18.6,75,0.4,100,2.48,5.5,50
87,2023-06-18T15:00,19.0,74,0.2,100,2.94,6.7,55
88,2023-06-18T16:00,19.3,71,0.2,100,3.72,7.9,59
89,2023-06-18T17:00,19.3,69,0.2,100,4.16,9.1,63
90,2023-06-18T18:00,18.7,68,0.0,100,3.98,8.6,65
91,2023-06-18T19:00,17.7,68,0.0,100,3.45,8.1,68
92,2023-06-18T20:00,16.8,68,0.0,100,3.14,7.6,68
93,2023-06-18T21:00,16.0,69,0.0,100,3.18,7.5,62
94,2023-06-18T22:00,15.2,71,0.0,100,3.38,7.5,56
95,2023-06-18T23:00,14.5,73,0.0,100,3.48,7.4,51
96,2023-06-19T00:00,13.8,77,0.1,100,3.26,7.0,47
97,2023-06-19T01:00,13.2,81,0.1,100,2.83,6.6,45
98,2023-06-19T02:00,12.7,84,0.1,100,2.55,6.2,42
99,2023-06-19T03:00,12.5,85,0.0,99,2.34,5.8,40
100,2023-06-19T04:00,12.4,86,0.0,97,2.28,5.4,38
101,2023-06-19T05:00,12.6,86,0.0,96,2.14,5.0,37
